Sex;Age;Edu;n_idf;N_2002;N_2008;conso_5_2002 ;conso_5_2008
1;1;1;492786;52;148;0.019230769230769;0.027027027027027
1;1;2;492696;97;223;0.030927835051546;0.04932735426009
1;1;3;204420;84;137;0.035714285714286;0.072992700729927
1;2;1;1079377;241;355;0.049792531120332;0.08169014084507
1;2;2;663008;122;225;0.073770491803279;0.111111111111111
1;2;3;657837;118;180;0.059322033898305;0.166666666666667
1;3;1;299470;95;149;0.147368421052632;0.174496644295302
1;3;2;182838;31;46;0.032258064516129;0.239130434782609
1;3;3;187364;28;34;0.178571428571429;0.205882352941176
2;1;1;497662;66;110;0.03030303030303;0.036363636363636
2;1;2;554509;121;252;0.049586776859504;0.087301587301587
2;1;3;191604;100;195;0.07;0.076923076923077
2;2;1;1106377;341;369;0.134897360703812;0.105691056910569
2;2;2;813403;178;302;0.146067415730337;0.119205298013245
2;2;3;598255;124;211;0.145161290322581;0.170616113744076
2;3;1;321763;235;241;0.2;0.219917012448133
2;3;2;241858;46;87;0.260869565217391;0.310344827586207
2;3;3;185946;17;40;0.235294117647059;0.3